order_id,order_date,customer_id,customer_name,product_id,product_name,quantity,price
19,2024-05-05,18,Customer_18,2,Product_2,3,58.1
20,2024-05-05,28,Customer_28,11,Product_11,3,88.21
21,2024-05-05,12,Customer_12,10,Product_10,5,57.23
22,2024-05-05,33,Customer_33,5,Product_5,3,31.26
23,2024-05-05,33,Customer_33,12,Product_12,1,66.68
24,2024-05-05,15,Customer_15,5,Product_5,3,82.35
25,2024-05-05,19,Customer_19,18,Product_18,5,77.2
26,2024-05-05,13,Customer_13,14,Product_14,4,82.12
27,2024-05-05,19,Customer_19,15,Product_15,1,41.0
28,2024-05-05,12,Customer_12,14,Product_14,5,44.33
29,2024-05-05,5,Customer_5,4,Product_4,3,86.99
30,2024-05-05,17,Customer_17,13,Product_13,3,43.84
31,2024-05-05,16,Customer_16,17,Product_17,1,52.45
32,2024-05-05,20,Customer_20,9,Product_9,1,30.83
33,2024-05-05,27,Customer_27,8,Product_8,2,28.37
